bank_reference,settlement_id,amount,transaction_date,bank_status
BANKREF300469,SETL200469,25626.46,2026-08-07,CREDITED
BANKREF300470,SETL200470,10101.31,2026-08-15,CREDITED
BANKREF300471,SETL200471,12791.39,2026-08-03,CREDITED
BANKREF300472,SETL200472,21909.36,2026-08-23,CREDITED
BANKREF300473,SETL200473,34931.13,2026-08-04,CREDITED
BANKREF300474,SETL200474,40488.78,2026-08-21,CREDITED
BANKREF300475,SETL200475,41462.36,2026-08-09,CREDITED
BANKREF300476,SETL200476,24866.72,2026-08-06,CREDITED
BANKREF300477,SETL200477,48509.99,2026-08-06,CREDITED
BANKREF300478,SETL200478,7091.22,2026-08-06,CREDITED
BANKREF300479,SETL200479,48653.26,2026-08-09,CREDITED
BANKREF300480,SETL200480,2511.84,2026-08-18,CREDITED
BANKREF300481,SETL200481,649.46,2026-08-05,CREDITED
BANKREF300482,SETL200482,55512.74,2026-08-19,CREDITED
BANKREF300483,SETL200483,26856.05,2026-08-12,CREDITED
BANKREF300484,SETL200484,21353.05,2026-08-13,CREDITED
BANKREF300486,SETL200486,21212.79,2026-08-17,CREDITED
BANKREF300487,SETL200487,47960.5,2026-08-08,CREDITED
BANKREF300488,SETL200488,47185.77,2026-08-23,CREDITED
BANKREF300490,SETL200490,11067.37,2026-08-15,CREDITED
BANKREF300491,SETL200491,28629.01,2026-08-18,CREDITED
BANKREF300492,SETL200492,15775.91,2026-08-13,CREDITED
BANKREF300493,SETL200493,30372.28,2026-08-22,CREDITED
BANKREF300495,SETL200495,37485.77,2026-08-08,CREDITED
BANKREF300496,SETL200496,44393.87,2026-08-20,CREDITED
BANKREF300497,SETL200497,32579.55,2026-08-15,CREDITED
BANKREF300498,SETL200498,26418.1,2026-08-21,CREDITED
BANKREF300499,SETL200499,18593.53,2026-08-18,CREDITED
BANKREF300500,SETL200500,32797.22,2026-08-03,CREDITED
BANKREF300501,SETL200501,38647.82,2026-08-17,CREDITED
BANKREF300502,SETL200502,49707.14,2026-08-13,CREDITED
BANKREF300503,SETL200503,41988.23,2026-08-06,CREDITED
BANKREF300504,SETL200504,20282.88,2026-08-23,CREDITED
BANKREF300505,SETL200505,3165.6,2026-08-08,CREDITED
BANKREF300506,SETL200506,15348.02,2026-08-10,CREDITED
BANKREF300507,SETL200507,48443.07,2026-08-09,CREDITED
BANKREF300509,SETL200509,1208.86,2026-08-04,CREDITED
BANKREF300510,SETL200510,43041.0,2026-08-12,CREDITED
BANKREF300511,SETL200511,24688.02,2026-08-22,CREDITED
BANKREF300512,SETL200512,56196.89,2026-08-12,CREDITED
BANKREF300513,SETL200513,35005.89,2026-08-19,CREDITED
BANKREF300514,SETL200514,12200.16,2026-08-22,CREDITED
BANKREF300515,SETL200515,57929.3,2026-08-23,CREDITED
BANKREF300516,SETL200516,34511.08,2026-08-16,CREDITED
BANKREF300517,SETL200517,47217.78,2026-08-19,CREDITED
BANKREF300518,SETL200518,3580.55,2026-08-04,CREDITED
BANKREF300519,SETL200519,40073.74,2026-08-07,CREDITED
BANKREF300520,SETL200520,21287.71,2026-08-17,CREDITED
BANKREF300521,SETL200521,14218.24,2026-08-12,CREDITED
BANKREF300522,SETL200522,22780.81,2026-08-13,CREDITED
BANKREF300523,SETL200523,49311.49,2026-08-23,CREDITED
BANKREF300524,SETL200524,17638.17,2026-08-08,CREDITED
BANKREF300525,SETL200525,43308.07,2026-08-06,CREDITED
BANKREF300526,SETL200526,32729.04,2026-08-07,CREDITED
BANKREF300527,SETL200527,19656.83,2026-08-07,CREDITED
BANKREF300528,SETL200528,28903.07,2026-08-21,CREDITED
BANKREF300529,SETL200529,30814.95,2026-08-19,CREDITED
BANKREF300530,SETL200530,20905.12,2026-08-09,CREDITED
BANKREF300531,SETL200531,17289.26,2026-08-22,CREDITED
BANKREF300532,SETL200532,14053.74,2026-08-23,CREDITED
BANKREF300533,SETL200533,53441.03,2026-08-06,CREDITED
BANKREF300535,SETL200535,3044.93,2026-08-23,CREDITED
BANKREF300536,SETL200536,10291.65,2026-08-20,CREDITED
BANKREF300538,SETL200538,44128.66,2026-08-07,CREDITED
BANKREF300539,SETL200539,4783.93,2026-08-08,CREDITED
BANKREF300540,SETL200540,24099.85,2026-08-17,CREDITED
BANKREF300541,SETL200541,1466.29,2026-08-06,CREDITED
BANKREF300542,SETL200542,41134.43,2026-08-29,CREDITED
BANKREF300543,SETL200543,35623.51,2026-08-12,CREDITED
BANKREF300544,SETL200544,28072.85,2026-08-20,CREDITED
BANKREF300545,SETL200545,17851.37,2026-08-23,CREDITED
BANKREF300546,SETL200546,2931.6,2026-08-21,CREDITED
BANKREF300547,SETL200547,12654.58,2026-08-14,CREDITED
BANKREF300548,SETL200548,11207.12,2026-08-22,CREDITED
BANKREF300549,SETL200549,39574.14,2026-08-21,CREDITED
BANKREF300550,SETL200550,17472.57,2026-08-05,CREDITED
BANKREF300551,SETL200551,56039.1,2026-08-14,CREDITED
BANKREF300552,SETL200552,17150.34,2026-08-05,CREDITED
BANKREF300553,SETL200553,19654.77,2026-08-12,CREDITED
BANKREF300555,SETL200555,46287.86,2026-08-23,CREDITED
BANKREF300556,SETL200556,40075.22,2026-08-13,CREDITED
BANKREF300557,SETL200557,45399.93,2026-08-18,CREDITED
BANKREF300558,SETL200558,49673.38,2026-08-07,CREDITED
BANKREF300559,SETL200559,42991.38,2026-08-03,CREDITED
BANKREF300560,SETL200560,44956.69,2026-09-02,CREDITED
BANKREF300561,SETL200561,21798.53,2026-08-10,CREDITED
BANKREF300562,SETL200562,29742.12,2026-08-05,CREDITED
BANKREF300563,SETL200563,49920.74,2026-08-22,CREDITED
BANKREF300564,SETL200564,9780.71,2026-08-21,CREDITED
BANKREF300565,SETL200565,55317.21,2026-08-04,CREDITED
BANKREF300566,SETL200566,15936.24,2026-08-10,CREDITED
BANKREF300567,SETL200567,22984.67,2026-08-17,CREDITED
BANKREF300568,SETL200568,41607.32,2026-08-19,CREDITED
BANKREF300569,SETL200569,38276.8,2026-08-14,CREDITED
BANKREF300570,SETL200570,22286.49,2026-08-10,CREDITED
BANKREF300571,SETL200571,28710.22,2026-08-18,CREDITED
BANKREF300572,SETL200572,10183.93,2026-08-05,CREDITED
BANKREF300573,SETL200573,9655.6,2026-08-27,CREDITED
BANKREF300574,SETL200574,47383.6,2026-08-06,CREDITED
BANKREF300575,SETL200575,12786.39,2026-08-08,CREDITED
BANKREF300576,SETL200576,3004.85,2026-08-21,CREDITED
BANKREF300577,SETL200577,52180.7,2026-08-07,CREDITED
BANKREF300578,SETL200578,51436.33,2026-08-12,CREDITED
BANKREF300579,SETL200579,50780.38,2026-08-08,CREDITED
BANKREF300580,SETL200580,10202.45,2026-08-13,CREDITED
BANKREF300581,SETL200581,22594.15,2026-08-07,CREDITED
BANKREF300582,SETL200582,28141.44,2026-08-22,CREDITED
BANKREF300583,SETL200583,53030.35,2026-08-20,CREDITED
BANKREF300584,SETL200584,21895.95,2026-08-04,CREDITED
BANKREF300585,SETL200585,54984.96,2026-08-18,CREDITED
BANKREF300586,SETL200586,16054.96,2026-08-10,CREDITED
BANKREF300587,SETL200587,11436.26,2026-08-03,CREDITED
BANKREF300588,SETL200588,22235.81,2026-08-09,CREDITED
BANKREF300589,SETL200589,6665.7,2026-08-16,CREDITED
BANKREF300590,SETL200590,35957.51,2026-08-15,CREDITED
BANKREF300591,SETL200591,22054.5,2026-08-20,CREDITED
BANKREF300592,SETL200592,45366.74,2026-08-15,CREDITED
BANKREF300593,SETL200593,26522.93,2026-08-08,CREDITED
BANKREF300594,SETL200594,46912.17,2026-08-22,CREDITED
BANKREF300595,SETL200595,23154.89,2026-08-23,CREDITED
BANKREF300596,SETL200596,54564.42,2026-08-16,CREDITED
BANKREF300597,SETL200597,36073.97,2026-08-15,CREDITED
BANKREF300598,SETL200598,55334.17,2026-08-08,CREDITED
BANKREF300599,SETL200599,12183.53,2026-08-19,CREDITED
BANKREF300600,SETL200600,39406.83,2026-08-14,CREDITED
BANKREF300601,SETL200601,20898.54,2026-08-15,CREDITED
BANKREF300602,SETL200602,43224.85,2026-08-05,CREDITED
BANKREF300603,SETL200603,20630.07,2026-08-11,CREDITED
BANKREF300604,SETL200604,54932.31,2026-08-21,CREDITED
BANKREF300606,SETL200606,40699.44,2026-08-15,CREDITED
BANKREF300607,SETL200607,56209.59,2026-08-17,CREDITED
BANKREF300608,SETL200608,7272.88,2026-08-05,CREDITED
BANKREF300609,SETL200609,47133.16,2026-08-16,CREDITED
BANKREF300610,SETL200610,14867.68,2026-08-05,CREDITED
BANKREF300612,SETL200612,52621.69,2026-08-11,CREDITED
BANKREF300613,SETL200613,43520.03,2026-08-10,CREDITED
BANKREF300614,SETL200614,13676.3,2026-08-10,CREDITED
BANKREF300615,SETL200615,36322.19,2026-08-20,CREDITED
BANKREF300616,SETL200616,29027.83,2026-08-21,CREDITED
BANKREF300617,SETL200617,3643.64,2026-08-16,CREDITED
BANKREF300618,SETL200618,50230.04,2026-08-08,CREDITED
BANKREF300620,SETL200620,19504.84,2026-08-22,CREDITED
BANKREF300621,SETL200621,16194.3,2026-08-22,CREDITED
BANKREF300622,SETL200622,25624.55,2026-08-16,CREDITED
BANKREF300623,SETL200623,10987.32,2026-08-07,CREDITED
BANKREF300624,SETL200624,42605.19,2026-08-10,CREDITED
BANKREF300625,SETL200625,46679.34,2026-08-07,CREDITED
BANKREF300626,SETL200626,58718.13,2026-08-23,CREDITED
BANKREF300627,SETL200627,33049.94,2026-08-21,CREDITED
BANKREF300628,SETL200628,2829.48,2026-08-11,CREDITED
BANKREF300629,SETL200629,15545.8,2026-08-14,CREDITED
BANKREF300630,SETL200630,7490.19,2026-08-22,CREDITED
BANKREF300631,SETL200631,21057.29,2026-08-19,CREDITED
BANKREF300632,SETL200632,35963.25,2026-08-17,CREDITED
BANKREF300633,SETL200633,24939.59,2026-08-22,CREDITED
BANKREF300634,SETL200634,9955.92,2026-08-10,CREDITED
BANKREF300635,SETL200635,36004.56,2026-08-15,CREDITED
BANKREF300636,SETL200636,10459.39,2026-08-03,CREDITED
BANKREF300637,SETL200637,23279.92,2026-08-06,CREDITED
BANKREF300638,SETL200638,45197.25,2026-08-19,CREDITED
BANKREF300639,SETL200639,5400.66,2026-08-15,CREDITED
BANKREF300640,SETL200640,26157.88,2026-08-07,CREDITED
BANKREF300642,SETL200642,32262.53,2026-08-07,CREDITED
BANKREF300643,SETL200643,37327.59,2026-08-23,CREDITED
BANKREF300646,SETL200646,20520.88,2026-08-18,CREDITED
BANKREF300647,SETL200647,17977.08,2026-08-16,CREDITED
BANKREF300649,SETL200649,42134.82,2026-08-23,CREDITED
BANKREF300650,SETL200650,5075.19,2026-08-23,CREDITED
BANKREF300651,SETL200651,37848.56,2026-08-20,CREDITED
BANKREF300652,SETL200652,17103.74,2026-08-23,CREDITED
BANKREF300653,SETL200653,19180.93,2026-08-31,CREDITED
BANKREF300654,SETL200654,16973.74,2026-08-07,CREDITED
BANKREF300655,SETL200655,5747.65,2026-08-03,CREDITED
BANKREF300656,SETL200656,18495.97,2026-08-18,CREDITED
BANKREF300657,SETL200657,2911.11,2026-08-07,CREDITED
BANKREF300658,SETL200658,11087.4,2026-08-11,CREDITED
BANKREF300659,SETL200659,22538.72,2026-08-17,CREDITED
BANKREF300660,SETL200660,30938.94,2026-08-09,CREDITED
BANKREF300661,SETL200661,9681.76,2026-08-04,CREDITED
BANKREF300662,SETL200662,28186.97,2026-08-12,CREDITED
BANKREF300663,SETL200663,14277.47,2026-08-16,CREDITED
BANKREF300664,SETL200664,34356.69,2026-08-15,CREDITED
BANKREF300665,SETL200665,40676.41,2026-08-07,CREDITED
BANKREF300666,SETL200666,29609.93,2026-08-22,CREDITED
BANKREF300667,SETL200667,21104.15,2026-08-07,CREDITED
BANKREF300668,SETL200668,28906.48,2026-08-13,CREDITED
BANKREF300669,SETL200669,43290.98,2026-08-03,CREDITED
BANKREF300670,SETL200670,15092.63,2026-08-09,CREDITED
BANKREF300671,SETL200671,11564.52,2026-08-08,CREDITED
BANKREF300672,SETL200672,16559.17,2026-08-22,CREDITED
BANKREF300673,SETL200673,26451.05,2026-08-11,CREDITED
BANKREF300674,SETL200674,51920.55,2026-08-22,CREDITED
BANKREF300675,SETL200675,42283.3,2026-08-20,CREDITED
BANKREF300677,SETL200677,6114.82,2026-08-05,CREDITED
BANKREF300678,SETL200678,12205.09,2026-08-18,CREDITED
BANKREF300679,SETL200679,38887.89,2026-08-19,CREDITED
BANKREF300682,SETL200682,46529.33,2026-08-04,CREDITED
BANKREF300683,SETL200683,48762.49,2026-08-05,CREDITED
BANKREF300684,SETL200684,11434.97,2026-08-19,CREDITED
BANKREF300685,SETL200685,43621.47,2026-08-23,CREDITED
BANKREF300686,SETL200686,51526.63,2026-08-08,CREDITED
BANKREF300687,SETL200687,38603.89,2026-08-20,CREDITED
BANKREF300688,SETL200688,32375.04,2026-08-13,CREDITED
BANKREF300689,SETL200689,35756.52,2026-08-21,CREDITED
BANKREF300690,SETL200690,21341.11,2026-08-17,CREDITED
BANKREF300691,SETL200691,57776.96,2026-08-22,CREDITED
BANKREF300692,SETL200692,13012.39,2026-08-13,CREDITED
BANKREF300693,SETL200693,2695.75,2026-08-14,CREDITED
BANKREF300695,SETL200695,23119.68,2026-08-21,CREDITED
BANKREF300696,SETL200696,28931.73,2026-08-21,CREDITED
BANKREF300697,SETL200697,42868.98,2026-08-21,CREDITED
BANKREF300698,SETL200698,20656.45,2026-08-16,CREDITED
BANKREF300699,SETL200699,37248.88,2026-08-23,CREDITED
BANKREF300700,SETL200700,19047.45,2026-08-21,CREDITED
BANKREF300701,SETL200701,39554.18,2026-08-15,CREDITED
BANKREF300702,SETL200702,25668.41,2026-08-15,CREDITED
BANKREF300703,SETL200703,28293.16,2026-08-09,CREDITED
BANKREF300704,SETL200704,29496.41,2026-08-07,CREDITED
BANKREF300705,SETL200705,23564.88,2026-08-21,CREDITED
BANKREF300706,SETL200706,4666.15,2026-08-16,CREDITED
BANKREF300707,SETL200707,39738.35,2026-08-16,CREDITED
BANKREF300708,SETL200708,20459.05,2026-08-30,CREDITED
BANKREF300709,SETL200709,36868.38,2026-08-23,CREDITED
BANKREF300710,SETL200710,44627.68,2026-08-05,CREDITED
BANKREF300711,SETL200711,51094.54,2026-08-12,CREDITED
BANKREF300712,SETL200712,26557.63,2026-08-03,CREDITED
BANKREF300713,SETL200713,32342.22,2026-08-11,CREDITED
BANKREF300714,SETL200714,22327.27,2026-08-19,CREDITED
BANKREF300715,SETL200715,16957.1,2026-08-22,CREDITED
BANKREF300716,SETL200716,23197.88,2026-08-11,CREDITED
BANKREF300717,SETL200717,1605.64,2026-08-23,CREDITED
BANKREF300718,SETL200718,53300.41,2026-08-18,CREDITED
BANKREF300719,SETL200719,12074.02,2026-08-17,CREDITED
BANKREF300720,SETL200720,54251.18,2026-08-12,CREDITED
BANKREF300721,SETL200721,1559.69,2026-08-14,CREDITED
BANKREF300722,SETL200722,58548.75,2026-08-20,CREDITED
BANKREF300723,SETL200723,51964.8,2026-08-03,CREDITED
BANKREF300724,SETL200724,38465.09,2026-08-05,CREDITED
BANKREF300725,SETL200725,14378.13,2026-08-07,CREDITED
BANKREF300726,SETL200726,32142.31,2026-08-09,CREDITED
BANKREF300727,SETL200727,18488.73,2026-08-19,CREDITED
BANKREF300729,SETL200729,49153.78,2026-08-07,CREDITED
BANKREF300730,SETL200730,56058.26,2026-08-12,CREDITED
BANKREF300731,SETL200731,45905.67,2026-08-06,CREDITED
BANKREF300732,SETL200732,35253.13,2026-08-10,CREDITED
BANKREF300733,SETL200733,40696.17,2026-08-18,CREDITED
BANKREF300734,SETL200734,11152.14,2026-08-15,CREDITED
BANKREF300735,SETL200735,13679.85,2026-08-16,CREDITED
BANKREF300736,SETL200736,43764.18,2026-08-09,CREDITED
BANKREF300737,SETL200737,51110.89,2026-08-18,CREDITED
BANKREF300738,SETL200738,25413.09,2026-08-04,CREDITED
BANKREF300739,SETL200739,35838.42,2026-08-21,CREDITED
BANKREF300740,SETL200740,27160.04,2026-08-04,CREDITED
BANKREF300741,SETL200741,11495.86,2026-08-17,CREDITED
BANKREF300743,SETL200743,48936.94,2026-08-17,CREDITED
BANKREF300744,SETL200744,46077.67,2026-08-20,CREDITED
BANKREF300745,SETL200745,26916.52,2026-08-09,CREDITED
BANKREF300746,SETL200746,40585.6,2026-08-08,CREDITED
BANKREF300747,SETL200747,41752.83,2026-08-23,CREDITED
BANKREF300748,SETL200748,22547.63,2026-08-15,CREDITED
BANKREF300749,SETL200749,9933.26,2026-08-07,CREDITED
BANKREF300751,SETL200751,52732.97,2026-08-09,CREDITED
BANKREF300752,SETL200752,29951.39,2026-08-18,CREDITED
BANKREF300753,SETL200753,26975.63,2026-08-17,CREDITED
BANKREF300754,SETL200754,51913.53,2026-08-11,CREDITED
BANKREF300755,SETL200755,11020.27,2026-08-04,CREDITED
BANKREF300756,SETL200756,19667.16,2026-08-05,CREDITED
BANKREF300757,SETL200757,9887.32,2026-08-12,CREDITED
BANKREF300759,SETL200759,21537.45,2026-08-15,CREDITED
BANKREF300760,SETL200760,7622.25,2026-08-11,CREDITED
BANKREF300761,SETL200761,35862.52,2026-08-06,CREDITED
BANKREF300762,SETL200762,35684.59,2026-08-13,CREDITED
BANKREF300763,SETL200763,36272.05,2026-08-18,CREDITED
BANKREF300764,SETL200764,47657.57,2026-08-22,CREDITED
BANKREF300765,SETL200765,7340.73,2026-08-17,CREDITED
BANKREF300766,SETL200766,24420.68,2026-08-13,CREDITED
BANKREF300767,SETL200767,37639.28,2026-08-12,CREDITED
BANKREF300768,SETL200768,29837.94,2026-08-13,CREDITED
BANKREF300769,SETL200769,23445.88,2026-08-21,CREDITED
BANKREF300770,SETL200770,20021.95,2026-08-13,CREDITED
BANKREF300771,SETL200771,9556.74,2026-08-17,CREDITED
BANKREF300772,SETL200772,33212.38,2026-08-14,CREDITED
BANKREF300773,SETL200773,4325.47,2026-08-07,CREDITED
BANKREF300774,SETL200774,36454.47,2026-08-08,CREDITED
BANKREF300775,SETL200775,41340.95,2026-08-13,CREDITED
BANKREF300776,SETL200776,5752.18,2026-08-10,CREDITED
BANKREF300777,SETL200777,7027.0,2026-08-04,CREDITED
BANKREF300778,SETL200778,46826.48,2026-08-19,CREDITED
BANKREF300779,SETL200779,43247.3,2026-08-19,CREDITED
BANKREF300780,SETL200780,48525.07,2026-08-19,CREDITED
BANKREF300781,SETL200781,27127.24,2026-08-19,CREDITED
BANKREF300782,SETL200782,40332.34,2026-08-22,CREDITED
BANKREF300783,SETL200783,6464.72,2026-08-12,CREDITED
BANKREF300784,SETL200784,19194.73,2026-08-09,CREDITED
BANKREF300786,SETL200786,1382.35,2026-08-22,CREDITED
BANKREF300787,SETL200787,32115.15,2026-08-20,CREDITED
BANKREF300788,SETL200788,33741.86,2026-08-08,CREDITED
BANKREF300789,SETL200789,3446.3,2026-08-03,CREDITED
BANKREF300790,SETL200790,22706.95,2026-08-05,CREDITED
BANKREF300791,SETL200791,18599.14,2026-08-09,CREDITED
BANKREF300792,SETL200792,33895.05,2026-08-05,CREDITED
BANKREF300793,SETL200793,14011.88,2026-09-03,CREDITED
BANKREF300794,SETL200794,11081.84,2026-08-13,CREDITED
BANKREF300795,SETL200795,4276.03,2026-08-06,CREDITED
BANKREF300797,SETL200797,24193.5,2026-08-06,CREDITED
BANKREF300798,SETL200798,31145.56,2026-08-15,CREDITED
BANKREF300799,SETL200799,57218.95,2026-08-15,CREDITED
BANKREF300800,SETL200800,45830.59,2026-08-16,CREDITED
BANKREF300801,SETL200801,39086.84,2026-08-05,CREDITED
BANKREF300802,SETL200802,35147.43,2026-08-17,CREDITED
BANKREF300803,SETL200803,55858.53,2026-08-05,CREDITED
BANKREF300804,SETL200804,29141.14,2026-08-04,CREDITED
BANKREF300805,SETL200805,44393.63,2026-08-07,CREDITED
BANKREF300806,SETL200806,36108.0,2026-08-17,CREDITED
BANKREF300807,SETL200807,53693.1,2026-08-16,CREDITED
BANKREF300808,SETL200808,35949.95,2026-08-19,CREDITED
BANKREF300809,SETL200809,21899.02,2026-08-20,CREDITED
BANKREF300810,SETL200810,50810.06,2026-08-03,CREDITED
BANKREF300811,SETL200811,41748.24,2026-08-15,CREDITED
BANKREF300812,SETL200812,28150.88,2026-08-14,CREDITED
BANKREF300813,SETL200813,17237.78,2026-08-07,CREDITED
BANKREF300814,SETL200814,56953.02,2026-08-07,CREDITED
BANKREF300815,SETL200815,26958.08,2026-08-16,CREDITED
BANKREF300816,SETL200816,13573.2,2026-08-16,CREDITED
BANKREF300817,SETL200817,42086.47,2026-08-11,CREDITED
BANKREF300818,SETL200818,57220.12,2026-08-21,CREDITED
BANKREF300819,SETL200819,56634.5,2026-08-05,CREDITED
BANKREF300820,SETL200820,30666.13,2026-08-19,CREDITED
BANKREF300821,SETL200821,37305.12,2026-08-05,CREDITED
BANKREF300823,SETL200823,33994.92,2026-08-16,CREDITED
BANKREF300824,SETL200824,2547.26,2026-08-22,CREDITED
BANKREF300825,SETL200825,36982.84,2026-08-21,CREDITED
BANKREF300826,SETL200826,47343.93,2026-08-22,CREDITED
BANKREF300827,SETL200827,7900.61,2026-08-05,CREDITED
BANKREF300828,SETL200828,16429.37,2026-08-11,CREDITED
BANKREF300830,SETL200830,11041.03,2026-08-26,CREDITED
BANKREF300831,SETL200831,49280.75,2026-08-16,CREDITED
BANKREF300832,SETL200832,8436.71,2026-08-14,CREDITED
BANKREF300834,SETL200834,40001.89,2026-08-15,CREDITED
BANKREF300835,SETL200835,1165.94,2026-08-17,CREDITED
BANKREF300836,SETL200836,6131.91,2026-08-20,CREDITED
BANKREF300837,SETL200837,19890.54,2026-08-11,CREDITED
BANKREF300838,SETL200838,45624.11,2026-08-10,CREDITED
BANKREF300839,SETL200839,39832.4,2026-08-08,CREDITED
BANKREF300840,SETL200840,1189.82,2026-08-06,CREDITED
BANKREF300841,SETL200841,15078.44,2026-08-04,CREDITED
BANKREF300842,SETL200842,54578.85,2026-08-09,CREDITED
BANKREF300843,SETL200843,38434.03,2026-08-23,CREDITED
BANKREF300844,SETL200844,15246.37,2026-08-17,CREDITED
BANKREF300845,SETL200845,45053.68,2026-08-13,CREDITED
BANKREF300846,SETL200846,45302.73,2026-08-15,CREDITED
BANKREF300849,SETL200849,36279.41,2026-08-06,CREDITED
BANKREF300850,SETL200850,4714.16,2026-08-21,CREDITED
BANKREF300851,SETL200851,52480.5,2026-08-07,CREDITED
BANKREF300852,SETL200852,39030.5,2026-08-11,CREDITED
BANKREF300853,SETL200853,30375.94,2026-08-18,CREDITED
BANKREF300854,SETL200854,32048.42,2026-08-03,CREDITED
BANKREF300855,SETL200855,19816.45,2026-08-12,CREDITED
BANKREF300856,SETL200856,31907.65,2026-08-13,CREDITED
BANKREF300857,SETL200857,32787.84,2026-08-15,CREDITED
BANKREF300858,SETL200858,52139.39,2026-08-23,CREDITED
BANKREF300859,SETL200859,8366.22,2026-08-09,CREDITED
BANKREF300860,SETL200860,23182.4,2026-08-20,CREDITED
BANKREF300861,SETL200861,56916.85,2026-08-03,CREDITED
BANKREF300863,SETL200863,43655.93,2026-08-10,CREDITED
BANKREF300865,SETL200865,869.18,2026-08-23,CREDITED
BANKREF300866,SETL200866,48048.14,2026-08-06,CREDITED
BANKREF300867,SETL200867,47491.81,2026-08-16,CREDITED
BANKREF300868,SETL200868,7489.99,2026-08-21,CREDITED
BANKREF300869,SETL200869,45082.01,2026-08-21,CREDITED
BANKREF300870,SETL200870,44616.99,2026-08-08,CREDITED
BANKREF300871,SETL200871,14580.56,2026-08-21,CREDITED
BANKREF300872,SETL200872,1399.97,2026-08-18,CREDITED
BANKREF300873,SETL200873,39288.91,2026-08-23,CREDITED
BANKREF300874,SETL200874,12498.39,2026-08-23,CREDITED
BANKREF300875,SETL200875,55173.33,2026-08-22,CREDITED
BANKREF300876,SETL200876,36218.42,2026-08-05,CREDITED
BANKREF300877,SETL200877,744.25,2026-08-10,CREDITED
BANKREF300878,SETL200878,50499.16,2026-08-20,CREDITED
BANKREF300879,SETL200879,16603.42,2026-08-09,CREDITED
BANKREF300880,SETL200880,10779.15,2026-08-04,CREDITED
BANKREF300881,SETL200881,12955.32,2026-08-11,CREDITED
BANKREF300882,SETL200882,54124.66,2026-08-08,CREDITED
BANKREF300883,SETL200883,4836.68,2026-08-10,CREDITED
BANKREF300885,SETL200885,43132.96,2026-08-09,CREDITED
BANKREF300886,SETL200886,52131.15,2026-08-07,CREDITED
BANKREF300887,SETL200887,8394.43,2026-08-09,CREDITED
BANKREF300888,SETL200888,20069.76,2026-08-04,CREDITED
BANKREF300889,SETL200889,8393.95,2026-08-17,CREDITED
BANKREF300890,SETL200890,13231.93,2026-08-12,CREDITED
BANKREF300891,SETL200891,5212.42,2026-08-19,CREDITED
BANKREF300892,SETL200892,16783.74,2026-08-16,CREDITED
BANKREF300893,SETL200893,25660.29,2026-08-10,CREDITED
BANKREF300894,SETL200894,57156.18,2026-08-04,CREDITED
BANKREF300895,SETL200895,31190.51,2026-08-18,CREDITED
BANKREF300896,SETL200896,14526.65,2026-08-20,CREDITED
BANKREF300897,SETL200897,21366.72,2026-08-10,CREDITED
BANKREF300898,SETL200898,39288.79,2026-08-08,CREDITED
BANKREF300899,SETL200899,51411.82,2026-08-22,CREDITED
BANKREF300900,SETL200900,50467.6,2026-08-05,CREDITED
BANKREF300901,SETL200901,25158.15,2026-08-11,CREDITED
BANKREF300902,SETL200902,36741.56,2026-08-13,CREDITED
BANKREF300903,SETL200903,7249.41,2026-08-14,CREDITED
BANKREF300904,SETL200904,33253.7,2026-08-09,CREDITED
BANKREF300905,SETL200905,38411.55,2026-08-21,CREDITED
BANKREF300906,SETL200906,52539.8,2026-08-19,CREDITED
BANKREF300907,SETL200907,3940.09,2026-08-14,CREDITED
BANKREF300909,SETL200909,23316.9,2026-08-08,CREDITED
BANKREF300910,SETL200910,16563.23,2026-08-07,CREDITED
BANKREF300911,SETL200911,17488.11,2026-08-20,CREDITED
BANKREF300912,SETL200912,26144.86,2026-08-23,CREDITED
BANKREF300913,SETL200913,1778.48,2026-08-10,CREDITED
BANKREF300914,SETL200914,38562.73,2026-08-13,CREDITED
BANKREF300915,SETL200915,18238.16,2026-08-09,CREDITED
BANKREF300916,SETL200916,22197.74,2026-08-12,CREDITED
BANKREF300917,SETL200917,26897.38,2026-08-08,CREDITED
BANKREF300919,SETL200919,58121.38,2026-08-21,CREDITED
BANKREF300920,SETL200920,11182.3,2026-08-20,CREDITED
BANKREF300921,SETL200921,9063.38,2026-08-17,CREDITED
BANKREF300922,SETL200922,54268.05,2026-08-15,CREDITED
BANKREF300923,SETL200923,9732.53,2026-08-20,CREDITED
BANKREF300924,SETL200924,31641.19,2026-08-17,CREDITED
BANKREF300925,SETL200925,39882.82,2026-08-06,CREDITED
BANKREF300926,SETL200926,21350.67,2026-08-13,CREDITED
BANKREF300927,SETL200927,46032.72,2026-08-11,CREDITED
BANKREF300928,SETL200928,40014.15,2026-08-05,CREDITED
BANKREF300929,SETL200929,18697.28,2026-08-22,CREDITED
BANKREF300930,SETL200930,9034.52,2026-08-16,CREDITED
BANKREF300931,SETL200931,16994.02,2026-08-14,CREDITED
BANKREF300932,SETL200932,43414.82,2026-08-17,CREDITED
BANKREF300933,SETL200933,42183.44,2026-08-16,CREDITED
BANKREF300934,SETL200934,27979.84,2026-08-19,CREDITED
BANKREF300935,SETL200935,877.68,2026-08-23,CREDITED
BANKREF300936,SETL200936,41951.54,2026-08-07,CREDITED
BANKREF300937,SETL200937,32996.36,2026-08-04,CREDITED
BANKREF300939,SETL200939,7734.62,2026-08-12,CREDITED
